"Sl No","Stock","Net Profit 3Y Growth %","PEG TTM","Net Profit QoQ Growth %","Rev  Growth Qtr YoY %","Revenue QoQ Growth %","Durability Score","Momentum Score","1Y Low","1Y High","LTP","MF holding current Qtr %","Total Debt to Total Equity Ann ","Net Profit Ann  YoY Growth %","FII holding current Qtr %","Institutional holding current Qtr %","Promoter holding latest %","Sector","Piotroski Score","Market Cap","PE TTM","ROE Ann  %","NSE Code","BSE Code","ISIN"
"1","Sumeet Industries","5743.26","-56.91","-8.32","6.02","-0.88","85","45.82","10.66","40.5","29.96","0","0.46","388.52","0.01","0.01","89.83","Textiles Apparels & Accessories","7","1576.87","16.68","110.11","SUMEETINDS","514211","INE235C01036"
"2","Websol Energy ","1500.23","0.06","40.28","77.19","55.17","90","53.28","50.4","157.3","114.4","0.32","0.55","227.93","4.12","4.44","29.72","Consumer Durables","9","4828.41","21.29","55.65","WEBELSOLAR","517498","INE855C01023"
"3","Force Motors","979.16","0.12","15.81","12.65","2.27","90","46.6","8745","26450","20779","0.98","0.01","106.33","10.93","12.68","61.63","Automobiles & Auto Components","9","27379.03","20.02","26.39","FORCEMOT","500033","INE451A01017"
"4","Jammu & Kashmir Bank","320.69","14.53","17.49","3.28","0.67","70","66.9","87.3","135","126.3","3.89","0.18","17.53","8.35","14.35","59.4","Banking and Finance","7","13907.93","6.49","16.05","J&KBANK","532209","INE168A01041"
"5","Engineers India","315.55","0.21","315.84","58.29","31.36","75","63.89","163.55","255.45","248.51","10.57","0","30.21","9.66","21.89","51.32","Commercial Services & Supplies","7","13967.32","18","21.72","ENGINERSIN","532178","INE510A01028"
"6","GPT Infraprojects","228.96","0.58","-7.57","2.11","1.89","80","53.79","96.22","149.8","115.54","4.07","0.24","38.42","2.72","9.75","69.37","Cement and Construction","8","1460.02","16.28","15.29","GPTINFRA","533761","INE390G01014"
"7","SRM Contractors","213.09","0.13","20.02","53.69","12.12","85","54.68","298.35","649.95","530.65","0","0.15","103.97","0.43","1.54","72.59","Cement and Construction","7","1217.53","15.03","19.96","SRM","544158","INE0R6Z01013"
"8","GE Power","170.29","0.03","123.49","21.69","37.47","80","71.55","212.4","552.05","535.8","0.15","0","218.48","1.26","2.78","68.58","General Industrials","8","3602.05","11.86","64.1","GVPIL","532309","INE878A01011"
"9","Pokarna","139.53","-1.18","221.64","-39.65","13.93","75","60.64","692.6","1146.2","912.4","11.21","0.42","114.68","6.9","22.87","56.66","Cement and Construction","8","2828.8","24.84","24.1","POKARNA","532486","INE637C01025"
"10","FIEM Industries","117.63","0.9","-0.47","16.35","-3.54","90","58.84","1380.5","2555.3","2210.2","9.71","0","23.67","6.86","18.26","54.52","Automobiles & Auto Components","9","5817.18","23.9","19.73","FIEMIND","532768","INE737H01014"
